GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75238,75238,ZCTA5 75238,8487,607,8487,607,1863,304,1489,263,359,106,1615,296,1209,203,991,199,961,208,0,27
8600000US75240,75240,ZCTA5 75240,8098,757,8098,757,1730,306,891,214,371,147,1619,312,1115,234,1339,196,1033,235,0,24
8600000US75241,75241,ZCTA5 75241,8153,821,7928,810,884,249,1070,243,432,179,1520,312,1112,272,1605,411,1305,278,225,112
8600000US75243,75243,ZCTA5 75243,16450,1016,16443,1016,3352,481,2403,378,1226,262,3250,465,2408,355,1814,294,1990,347,7,5
8600000US75244,75244,ZCTA5 75244,2740,361,2740,361,603,163,269,94,168,83,438,136,399,108,383,124,480,127,0,20
8600000US75246,75246,ZCTA5 75246,486,287,486,287,73,58,77,66,34,39,50,62,124,87,92,65,36,42,0,13
8600000US75247,75247,ZCTA5 75247,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US75248,75248,ZCTA5 75248,6384,572,6384,572,1108,276,921,242,337,135,827,176,994,279,733,183,1464,255,0,27
8600000US75249,75249,ZCTA5 75249,4647,525,4647,525,627,235,428,179,372,173,933,236,755,211,697,207,835,227,0,20
8600000US75251,75251,ZCTA5 75251,416,185,416,185,174,127,43,53,40,49,0,13,56,82,47,50,56,90,0,13
8600000US75252,75252,ZCTA5 75252,4364,537,4364,537,723,211,719,199,367,136,749,186,547,151,727,217,532,140,0,24
8600000US75253,75253,ZCTA5 75253,6936,835,6936,835,1294,318,850,241,389,142,1267,292,1117,299,1048,251,971,239,0,20
8600000US75254,75254,ZCTA5 75254,6067,708,6067,708,1248,292,939,294,524,165,784,200,986,266,833,212,753,349,0,24
8600000US75270,75270,ZCTA5 75270,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US75287,75287,ZCTA5 75287,9653,723,9653,723,2046,355,1346,277,585,209,1577,257,1336,296,1527,294,1236,318,0,30
8600000US75390,75390,ZCTA5 75390,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US75401,75401,ZCTA5 75401,4961,519,4931,520,1073,233,528,133,232,104,864,200,724,207,839,217,671,167,30,56
8600000US75402,75402,ZCTA5 75402,3981,590,3981,590,575,176,337,119,329,146,752,242,807,231,586,215,595,213,0,20
8600000US75407,75407,ZCTA5 75407,4626,547,4626,547,616,181,443,162,189,92,798,231,941,219,942,200,697,239,0,20
8600000US75409,75409,ZCTA5 75409,3423,481,3423,481,565,230,601,219,307,196,696,281,444,240,383,135,427,172,0,20
8600000US75410,75410,ZCTA5 75410,828,195,828,195,97,63,136,86,22,23,110,58,170,100,187,81,106,51,0,13
8600000US75411,75411,ZCTA5 75411,297,151,297,151,66,50,38,33,49,43,60,48,61,46,15,20,8,13,0,13
8600000US75412,75412,ZCTA5 75412,132,73,132,73,19,25,18,18,15,23,5,7,15,16,57,45,3,5,0,13
8600000US75413,75413,ZCTA5 75413,49,25,49,25,6,7,2,3,5,7,4,7,10,10,10,14,12,16,0,13
8600000US75414,75414,ZCTA5 75414,603,185,603,185,143,78,63,49,28,27,57,38,140,62,81,40,91,50,0,13
8600000US75415,75415,ZCTA5 75415,30,42,30,42,21,28,9,14,0,13,0,13,0,13,0,13,0,13,0,13
8600000US75416,75416,ZCTA5 75416,504,124,504,124,154,58,55,37,20,19,42,23,58,26,64,33,111,66,0,13
8600000US75417,75417,ZCTA5 75417,516,110,516,110,95,61,44,29,42,37,75,35,101,49,69,40,90,28,0,13
8600000US75418,75418,ZCTA5 75418,2531,304,2531,304,541,120,316,112,227,100,452,132,408,150,310,112,277,88,0,20
8600000US75420,75420,ZCTA5 75420,139,78,139,78,20,19,22,21,6,11,13,17,17,16,22,21,39,34,0,13
